observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution	measurementType	censoringBounds
Activity		Inhibitor_0	0	5		1	lin	normal	interval-censored	"10.0;16.0"
Activity		Inhibitor_3	0	5		1	lin	normal	interval-censored	"10.0;16.0"
Activity		Inhibitor_10	17.89265379	5		1	lin	normal
Activity		Inhibitor_25	0	5		1	lin	normal	right-censored	20.0
Activity		Inhibitor_35	16.81210375	5		1	lin	normal
Activity		Inhibitor_50	9.17312936	5		1	lin	normal
Activity		Inhibitor_75	4.15092812	5		1	lin	normal
Activity		Inhibitor_100	0	5		1	lin	normal	left-censored	3.0
Activity		Inhibitor_300	0	5		1	lin	normal	left-censored	3.0
Ybar		Inhibitor_0	0	5		1	lin	normal
Ybar		Inhibitor_3	0.05999885	5		1	lin	normal
Ybar		Inhibitor_10	0.19999376	5		1	lin	normal
Ybar		Inhibitor_25	0.49904277	5		1	lin	normal
Ybar		Inhibitor_35	0.65916874	5		1	lin	normal
Ybar		Inhibitor_50	0.81495435	5		1	lin	normal
Ybar		Inhibitor_75	0.91638297	5		1	lin	normal
Ybar		Inhibitor_100	0.94898071	5		1	lin	normal
Ybar		Inhibitor_300	0.98813045	5		1	lin	normal
