observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
Activity		Inhibitor_0	14.74354964	5	optimalScaling_Activity_2	1	lin	normal
Activity		Inhibitor_3	15.59302016	5	optimalScaling_Activity_2	1	lin	normal
Activity		Inhibitor_10	17.84785674	5	optimalScaling_Activity_3	1	lin	normal
Activity		Inhibitor_25	22.45249666	5	optimalScaling_Activity_3	1	lin	normal
Activity		Inhibitor_35	16.77621025	5	optimalScaling_Activity_2	1	lin	normal
Activity		Inhibitor_50	8.54934378	5	optimalScaling_Activity_1	1	lin	normal
Activity		Inhibitor_75	5.17846052	5	optimalScaling_Activity_1	1	lin	normal
Activity		Inhibitor_100	1.63407745	5	optimalScaling_Activity_1	1	lin	normal
Activity		Inhibitor_300	0.32179327	5	optimalScaling_Activity_1	1	lin	normal
